=== Isotonic Likelihood Ratio Test (Test FOR Order Restriction) ===
Data Source: ../data/final_data/prime_9_digits.csv
Test Dimension (k): 4018 primes
Monte Carlo Simulations: 10000
Global Base Success Rate (LFC p_0): 0.000219
-----------------------------------------------------------------
Hypothesis Frame:
  H0: Search difficulty (trials) is monotonically increasing or flat.
  H1: Search difficulty is completely unconstrained (wild fluctuations).
-----------------------------------------------------------------
Observed LRT Statistic (T) : 11126.392223
Monte Carlo P-Value        : 0.000000e+00
Final Statistical Verdict  : REJECT H0 (Data fluctuates too wildly; strictly increasing difficulty is rejected)
-----------------------------------------------------------------
Computation Time: 14.09 seconds

--- Isotonically Smoothed Inference Parameters (p_tilde) for Each Prime ---
Prime: 133417057       | Original Mean y_bar:  1663.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133619753       | Original Mean y_bar:  3152.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133674799       | Original Mean y_bar:  1403.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133826963       | Original Mean y_bar:  2678.85 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 133854109       | Original Mean y_bar:  3012.25 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 134071897       | Original Mean y_bar:  1638.50 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 134080211       | Original Mean y_bar:  1560.45 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 134183507       | Original Mean y_bar:   917.30 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 134822491       | Original Mean y_bar:  1423.70 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 134950367       | Original Mean y_bar:  2019.00 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 135172291       | Original Mean y_bar:  2173.40 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
Prime: 135458951       | Original Mean y_bar:  1599.20 | Fitted Prob p_tilde: 0.000420 | Sample Size n: 20
